case_id,defect_id,category,expected_error_code,case_path,clean
D01-01,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_01,false
D01-02,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_02,false
D01-03,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_03,false
D01-04,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_04,false
D01-05,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_05,false
D01-06,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_06,false
D01-07,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_07,false
D01-08,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_08,false
D01-09,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_09,false
D01-10,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_10,false
D01-11,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_11,false
D01-12,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_12,false
D01-13,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_13,false
D01-14,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_14,false
D01-15,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_15,false
D01-16,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_16,false
D01-17,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_17,false
D01-18,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_18,false
D01-19,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_19,false
D01-20,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_20,false
D01-21,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_21,false
D01-22,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_22,false
D01-23,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_23,false
D01-24,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_24,false
D01-25,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_25,false
D01-26,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_26,false
D01-27,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_27,false
D01-28,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_28,false
D01-29,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_29,false
D01-30,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_30,false
D02-01,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_01,false
D02-02,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_02,false
D02-03,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_03,false
D02-04,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_04,false
D02-05,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_05,false
D02-06,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_06,false
D02-07,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_07,false
D02-08,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_08,false
D02-09,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_09,false
D02-10,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_10,false
D02-11,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_11,false
