category,claim_id,claim_text,current_evidence,detected_pattern,expected_status,safe_rewrite,status
safe_software_simulation_claims,CB-EDA-0001,The ngspice replay records software simulation evidence for case 1.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0002,The HDL testbench output supports a software-only simulation statement for case 2.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0003,The replay manifest records commands for software-only reproduction case 3.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0004,The ngspice replay records software simulation evidence for case 4.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0005,The HDL testbench output supports a software-only simulation statement for case 5.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0006,The replay manifest records commands for software-only reproduction case 6.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0007,The ngspice replay records software simulation evidence for case 7.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0008,The HDL testbench output supports a software-only simulation statement for case 8.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0009,The replay manifest records commands for software-only reproduction case 9.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0010,The ngspice replay records software simulation evidence for case 10.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0011,The HDL testbench output supports a software-only simulation statement for case 11.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0012,The replay manifest records commands for software-only reproduction case 12.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0013,The ngspice replay records software simulation evidence for case 13.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
safe_software_simulation_claims,CB-EDA-0014,The HDL testbench output supports a software-only simulation statement for case 14.,L3_SIMULATION,,SUPPORTED,,SUPPORTED
