artifact_id,artifact_type,artifact_name,source_path,generated_by,verified_by,evidence_layer,claim_supported,paper_target,status,hash,limitation,unsupported_boundary
S2D-A001,HDL_SOURCE,RM FIR HDL source,spec2dfx_personal_project_pack/05_build_and_code/hdl/rm_fir.v,Spec2DFX source package,file existence and sha256,L1_CODE_EXISTS,S2D-C01,Paper1;Paper2,DIRECT_EVIDENCE,ff0be74c5d974a81f9f00435111de6b9766c044d9d83cef4a8bc0a0cc6c2f5f8,Source artifact only; not Vivado DFX partition evidence.,"Does not support timing, bitstream, board-level measurement, or DFX-benefit claims."
S2D-A002,TESTBENCH_SOURCE,RM FIR self-checking testbench,spec2dfx_personal_project_pack/05_build_and_code/tb/tb_rm_fir.v,Spec2DFX source package,file existence and sha256,L1_CODE_EXISTS,S2D-C02,Paper1;Paper2,DIRECT_EVIDENCE,2bee97e437a6f2c1ad181066315a237f4ef771b115aaf58cc73da2d30eda0637,Testbench scope is local module behavior only.,Does not prove Vivado implementation or board behavior.
S2D-A003,REFERENCE_RESULT,RM FIR Python reference expected-vs-actual table,spec2dfx_personal_project_pack/07_results_and_evidence/rm_fir_reference/rm_fir_expected_vs_actual.csv,run_fir_reference.py,file existence and sha256,L2_REFERENCE_EVIDENCE,S2D-C02,Paper1;Paper2,DIRECT_EVIDENCE,3d40f6cd93ec2fbca3154974e613b47fb2677713dd09b27c5a5133656c3042d0,Reference vectors are finite and local.,Does not prove exhaustive behavior or DFX operation.
S2D-A004,SIMULATION_LOG,RM FIR Icarus/VVP simulation log,spec2dfx_personal_project_pack/07_results_and_evidence/rm_fir_hdl/sim_rm_fir.log,run_hdl_simulations.py,file existence and sha256,L3_SIMULATION_EVIDENCE,S2D-C03,Paper1;Paper2,DIRECT_EVIDENCE,1496d35eedf6cc4d38c7783053015eea1c8aceea93aaf8129e05327891521a1a,Local simulator evidence only.,"Does not prove Vivado timing, bitstream, or board behavior."
S2D-A005,SYNTHESIS_LOG,RM FIR Yosys synthesis log,spec2dfx_personal_project_pack/07_results_and_evidence/yosys_synthesis/rm_fir/synthesis_rm_fir.log,run_yosys_synthesis.py,file existence and sha256,L4_SYNTHESIS_EVIDENCE,S2D-C04,Paper1;Paper2,DIRECT_EVIDENCE,bfe93574abae9de46f9ea653cea9fe10e29d242a1b8d290fe31c331f75d035f7,Standalone open-source synthesis only.,Must not be described as Vivado implementation or timing closure.
S2D-A006,SYNTHESIS_REPORT,RM FIR Yosys utilization report,spec2dfx_personal_project_pack/07_results_and_evidence/yosys_synthesis/rm_fir/utilization_rm_fir.rpt,run_yosys_synthesis.py,file existence and sha256,L4_SYNTHESIS_EVIDENCE,S2D-C04,Paper1;Paper2,DIRECT_EVIDENCE,523326fd182e3f6a09edb9002c884e580420d08a14b5b696459353d9d565d7d9,Standalone Yosys utilization report only.,Not a Vivado utilization report.
S2D-A007,HDL_SOURCE,RM tiny classifier HDL source,spec2dfx_personal_project_pack/05_build_and_code/hdl/rm_tiny_classifier.v,Spec2DFX source package,file existence and sha256,L1_CODE_EXISTS,S2D-C01,Paper1;Paper2,DIRECT_EVIDENCE,f6aed5a1d3711525fd2c0fd5fded06a1e3b6a7027ed1b9103abefdf45625a723,Source artifact only; not Vivado DFX partition evidence.,"Does not support timing, bitstream, board-level measurement, or DFX-benefit claims."
S2D-A008,TESTBENCH_SOURCE,RM tiny classifier self-checking testbench,spec2dfx_personal_project_pack/05_build_and_code/tb/tb_rm_tiny_classifier.v,Spec2DFX source package,file existence and sha256,L1_CODE_EXISTS,S2D-C02,Paper1;Paper2,DIRECT_EVIDENCE,08560e8bb20156674b956136520665c87d13b829ae41cd9abc2792dedf99a57e,Testbench scope is local module behavior only.,Does not prove Vivado implementation or board behavior.
S2D-A009,REFERENCE_RESULT,RM tiny classifier expected-vs-actual table,spec2dfx_personal_project_pack/07_results_and_evidence/rm_tiny_classifier_reference/rm_tiny_classifier_expected_vs_actual.csv,run_tiny_classifier_reference.py,file existence and sha256,L2_REFERENCE_EVIDENCE,S2D-C02,Paper1;Paper2,DIRECT_EVIDENCE,79856723118ff1a7cd479352f1338eb04edc33f0fba78f2ab6926df86804e6e5,Reference vectors are finite and local.,Does not prove exhaustive behavior or DFX operation.
S2D-A010,SIMULATION_LOG,RM tiny classifier Icarus/VVP simulation log,spec2dfx_personal_project_pack/07_results_and_evidence/rm_tiny_classifier_hdl/sim_rm_tiny_classifier.log,run_hdl_simulations.py,file existence and sha256,L3_SIMULATION_EVIDENCE,S2D-C03,Paper1;Paper2,DIRECT_EVIDENCE,22ff1764a06ab1cfa04399b1f668b7014e0009c63a3af4f909debe0b8d8adfeb,Local simulator evidence only.,"Does not prove Vivado timing, bitstream, or board behavior."
