artifact_id,path,tool,artifact_type,expected_evidence_level,dataset_split,evaluation_group,supported_positive_claims,allowed_claims,forbidden_claims
META-PLECS-0001,models/model_1.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0002,models/model_2.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0003,models/model_3.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0004,models/model_4.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0005,models/model_5.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0006,models/model_6.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0007,models/model_7.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0008,models/model_8.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0009,models/model_9.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0010,models/model_10.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0011,models/model_11.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0012,models/model_12.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0013,models/model_13.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
META-PLECS-0014,models/model_14.plecs,PLECS,metadata-only model files,L0_METADATA,holdout,cross_tool_holdout,yes,metadata-only model files is recorded,claims above the recorded software evidence level
