file_id,relative_path,extension,size_bytes,sha256,role,adapter,evidence_level,claim_binding,generated_by,tracked_in_git,inside_release_package
F00001,.gitignore,,485,6bf7536661118333d2b7f84ed5147517ee0c7e07468d0a324415df30f05d049a,source,,L0_METADATA,,source_tree,yes,no
F00002,.zenodo.json,.json,1136,81d358b44ca8e2f9d3884231a4ddc15e55f3459e0dce8084aa5917bb0daee6d2,source,,L0_METADATA,,source_tree,yes,no
F00003,02_EXPERIMENT_CONTRACT.yaml,.yaml,1383,d2679a1e2c37ded970e8a6f5b53384ea3d27fddcf359d04c21aefa4fb02a8e86,source,,L0_METADATA,,source_tree,yes,no
F00004,AGENTS.md,.md,1597,a050d7187995edf3b60f28ab5414c948dec19146ede7b7e19c9c2353136f8410,report,,L0_METADATA,,source_tree,yes,no
F00005,CITATION.cff,.cff,391,6e9677f890ecd34efb1c88ff567b1ecac905889abcf1c3f3da710439475fa78a,manifest,,L0_METADATA,,source_tree,yes,no
F00006,Dockerfile,,169,62df243c996f3e86cc5bebabc600207fd5924e5aaa2a8d2964ae395cbf088b1e,source,,L0_METADATA,,source_tree,yes,no
F00007,LICENSE,,3673,c9a670b28b96322a0e7153189bc5fd6eda8a72573efbb48ce098e0aab8eea664,source,,L0_METADATA,,source_tree,yes,no
F00008,Licence.txt,.txt,196,eded9ae6a2de10a583bc3a20c4a4b0b868e0ba792cbe35e4a9263b12c9e88993,source,,L0_METADATA,,source_tree,yes,no
F00009,Makefile,,12102,88f120168cc65210e864f95ca8a022ef25c05cd2072eaaacf9a5139a4c978a7b,source,,L0_METADATA,,source_tree,yes,no
F00010,README.md,.md,3571,911303ba87f83c1a67a770bbf3a64a4b8e49bb00d074a84f6c540959484b0e6d,report,,L0_METADATA,,source_tree,yes,yes
F00011,TODO.md,.md,2371,a954627238c1731776bedb8148e1c7bc469f5d954ade1796bc8b14a136536b97,report,,L0_METADATA,,source_tree,yes,no
F00012,codemeta.json,.json,571,bc6dc672fb7e5ea1fc9e8d9a12ee7f1a5f2480721c9686fe1f406a062b0da353,manifest,,L0_METADATA,,source_tree,yes,no
F00013,environment.yml,.yml,116,0985d0ba50d3e40ac13643f8f15842edd53d5f846544caf9b4698c25e71ad757,source,,L0_METADATA,,source_tree,yes,no
F00014,pyproject.toml,.toml,1117,a1b728f09c9fea259c3a335217e6005b1f50344dd008a17a106a6c1fe59277fa,source,,L0_METADATA,,source_tree,yes,no
F00015,setup.cfg,.cfg,24,5e7caa490d0176604d8aac8a41baf66424d0da1a3de80f9a763fab93b8f8db33,source,,L0_METADATA,,source_tree,yes,no
F00016,.codex_workflow/CALIBRATION_REPORT.md,.md,4104,7a37f9aaa9c3f1bde8984c9a1c590cc79928de685a7faceadf26cf08b5e97fc1,report,,L0_METADATA,,source_tree,no,no
F00017,.codex_workflow/IST_EXECUTION_STATE.md,.md,1879,ca1278b6ba1771375a04e67f5883dfd23082bf6df5a75fbffc69dc13ea7c15d9,report,,L0_METADATA,,source_tree,no,no
F00018,.codex_workflow/SESSION_STATE.md,.md,3421,5f012a1d3a3b13b0b85425e953e04a8a58fff62235aa3b11a90941f554d3a157,report,,L0_METADATA,,source_tree,no,no
F00019,.codex_workflow/STAGE_CONTROL_PACKET.md,.md,12429,0d05ba1fab6247b6f010e6da0089c078be4af6c1c7b4a2661da9cbf6d45131c6,report,,L0_METADATA,,source_tree,no,yes
F00020,.codex_workflow/WORKFLOW_STATE.md,.md,4382,1e4c339ccf67629a902fa77bdc65de5209ab6f75fefcc1c6ff03d9d3d6978c36,report,,L0_METADATA,,source_tree,no,yes
F00021,.github/workflows/ci.yml,.yml,698,8928068fada136d45120ab5e3427e2a457d9ee1bbc4a26cb030289ef9183ae27,source,,L0_METADATA,,source_tree,yes,no
F00022,dist/artifactgate_eda-0.1.2-py3-none-any.whl,.whl,52967,2dcb81603a751ceadab91b6d664a070c6697adc062fc72c00ea22994bae155eb,release_archive,,L0_METADATA,,packaging_tool,no,no
F00023,dist/artifactgate_eda-0.1.2.tar.gz,.gz,44350,acf19d8e927ae74a04d126b4baede7710cb6ad74bbaaea4dcc0a6064c851c638,release_archive,,L0_METADATA,,packaging_tool,no,no
F00024,docs/adapter_authoring.md,.md,2649,8eb31587f676a0818778d9126bc083d73a83768766f7db03b9a820e909ba115b,report,,L0_METADATA,,source_tree,yes,no
F00025,docs/api_reference.md,.md,4210,17eacb2e4dd9c400f6c5ee92fa31c6b9347f8ed3dbabf100bc814e123e12c98d,report,,L0_METADATA,,source_tree,yes,no
F00026,docs/author_submission_metadata_request.md,.md,1700,ce936098858db4318460e77f854a67625371c3f342212eb88ed24998be62fe6e,report,,L0_METADATA,,source_tree,yes,no
F00027,docs/claim_policy_language.md,.md,125,2b93ef117a4f95c149599b4e76046221b26cf9e34a907f2d8e71b0d2823be569,policy,,L0_METADATA,claim_related,source_tree,yes,no
F00028,docs/cli_reference.md,.md,7121,e28d0f039ae101ed3bc78b303852f731ba0f5ef24b37b2a7d7463c730e749792,report,,L0_METADATA,,source_tree,yes,yes
F00029,docs/installation.md,.md,74,65cf8dac5bedd4584a03a05eed6e2544244617003fee7cb3927b56bd1322e44e,report,,L0_METADATA,,source_tree,yes,no
F00030,docs/ist_author_external_completion_packet.md,.md,9634,d8a60c7f8dae3fffc24a368f841839efc0aaee1036f3508c6e250c3d94c1ce1c,report,,L0_METADATA,,source_tree,no,yes
F00031,docs/ist_stronger_plan_source_record.md,.md,1503,6bfa25ce0fe78ff60dd7584f2f12fce12ab9dbbde90b6e86ad3d2cf759689a30,report,,L0_METADATA,,source_tree,no,yes
F00032,docs/release_readiness.md,.md,3428,dcdbc3bccfffad3ceecdb5bbde9be09a0b86ca8f4452cc8233fcc6bdb1c0aeaa,report,,L0_METADATA,,source_tree,yes,yes
F00033,docs/reproducibility.md,.md,2719,ac8ecdf7583b0b7631a5b56a8dd26afff4e788d87452b7be15130b397cbb6f75,report,,L0_METADATA,,source_tree,yes,no
F00034,docs/schema_reference.md,.md,2874,4ea28d4af3be8ca1c0af97eec500b118ec6aabc7d63e40791d92686790f89bd0,schema,,L0_METADATA,,source_tree,yes,no
F00035,docs/softwarex_submission_checklist.md,.md,2144,6b7e68568b89cde4ad7671f196e125bada3c3429925ba33e111d31b10630deb5,report,,L0_METADATA,,source_tree,yes,yes
F00036,docs/softwarex_submission_notes.md,.md,209,57079452d35926764d3d6f40fb44fd279b67bc2abe97685b83ed0c017cdd7a11,report,,L0_METADATA,,source_tree,yes,no
F00037,docs/zenodo_doi_finalization.md,.md,3370,093077b9142ba5b2e46c35084b8adb1d459240f3bee198abd2130ea38cf13ec2,report,,L0_METADATA,,source_tree,yes,no
F00038,examples/claimbench_eda/claimbench_claims.csv,.csv,176398,b40c964e26fd066a8d7fd931df114a3e568112b3c8e7b1cc381c475487615167,input_artifact,,L0_METADATA,claim_related,source_tree,no,yes
F00039,examples/claimbench_eda/claimbench_gold.csv,.csv,225014,818eea7fff18fc380119b74283a05e0861d8d9a7286fc5af25f910fb0840ab34,input_artifact,,L0_METADATA,claim_related,source_tree,no,yes
F00040,examples/corrupted_artifact_cases/absolute_path/artifact_index.json,.json,423,862de9d8ca9cdb243ac46ea5eee07c8b81b6ea1eef32a080cb5fa526a3d1ec06,manifest,,L0_METADATA,,source_tree,yes,no
F00041,examples/corrupted_artifact_cases/broken_claim_reference/artifact_index.json,.json,472,f8d0794bfd1747d6794384aae8bdb749108766f2a9723b0300c8ab5ee81dc9f5,manifest,,L0_METADATA,claim_related,source_tree,yes,no
F00042,examples/corrupted_artifact_cases/broken_claim_reference/claim.md,.md,38,daafc75f8495285263a465c735d7da0067aad664062b2fba9e8c47003fae089a,input_artifact,,L0_METADATA,claim_related,source_tree,yes,no
F00043,examples/corrupted_artifact_cases/hash_mismatch/artifact_index.json,.json,473,e51db73f2689e9fed3ff1a918851c9061ab1750c3d98df5d3a3c531ff2b992de,manifest,,L0_METADATA,,source_tree,yes,no
F00044,examples/corrupted_artifact_cases/hash_mismatch/results.csv,.csv,15,7e31a103261f1075aa93cfa4da9d83479724c9fa9ed0aff644e26795a5038841,derived_result,,L3_SIMULATION,,source_tree,yes,no
F00045,examples/corrupted_artifact_cases/missing_log/artifact_index.json,.json,478,1166e5fe83c5ef2209399a194f21551d19c16ec928fda58114d8a89d36049f5c,manifest,,L0_METADATA,,source_tree,yes,no
F00046,examples/corrupted_artifact_cases/missing_tool_version/artifact_index.json,.json,456,7704818f58ad23a88f5252f48a88473e04716383fc242222cff2d7d0aef7087a,manifest,,L0_METADATA,,source_tree,yes,no
F00047,examples/corrupted_artifact_cases/missing_tool_version/run.log,.log,9,6fea5e92bcd517ef0316ff2383430a03ac070d2ed08047f6c7de047276e765e2,raw_log,,L3_SIMULATION,,source_tree,yes,no
F00048,examples/corrupted_artifact_cases/simulation_to_hardware_escalation/claims.md,.md,53,7c25fea8a1f4446a5ed953d3dab3e3c969a7f5ceeb40c5aef9bcbdddb75813ab,input_artifact,,L3_SIMULATION,claim_related,source_tree,yes,no
F00049,examples/corrupted_artifact_cases/yosys_to_vivado_escalation/claims.md,.md,50,5618316a1477a7cdbd1e371eb3c7cd036b84764597b9cf65b4399423b25835bb,input_artifact,yosys,L0_METADATA,claim_related,source_tree,yes,no
F00050,examples/corrupted_artifact_cases_extended/README.md,.md,335,b492759976c8c03485ffcf00ad392665e0793ba0d72533cf2b2ee161491a7c1c,input_artifact,,L0_METADATA,,source_tree,no,yes
F00051,examples/corrupted_artifact_cases_extended/case_index.csv,.csv,94233,d2bc2446aa70fafab3041f15eba5c45c7594d6df1158013dcf76137656d9133d,input_artifact,,L0_METADATA,,source_tree,no,yes
F00052,examples/corrupted_artifact_cases_extended/taxonomy.csv,.csv,3224,7bea73e20574358377fd72418b0677700a3c88668af91dc6f476c8158ed04c58,input_artifact,,L0_METADATA,,source_tree,no,yes
