artifact_id,phase,artifact_type,relative_path,source_role,evidence_layer,claim_supported,claim_status,replay_required,replay_command_or_na,hash_or_version,paper_target,unsupported_boundary
P6-0001,Phase6,support_artifact,circuit_fault_bench_phase6_sci_readiness_upgrade/.gitignore,supporting_file,L0_CONTEXT_AND_BOUNDARY,CFB-P2-C01;CFB-P2-C03,SUPPORTING_ARTIFACT,OPTIONAL,python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:832aae8dbd5f34323b29b61cf35cfdb1082ebaca2a6ff61fcb33c43256384425,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0002,Phase6,control_document,circuit_fault_bench_phase6_sci_readiness_upgrade/AI_HANDOFF.md,handoff_or_boundary_document,L0_CONTEXT_AND_BOUNDARY,CFB-P2-C01;CFB-P2-C03,BOUNDARY_CONTROL,OPTIONAL,python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:70ce6a92182eb117abee39cffc4a374f44a560312b3ad5215160d07b9820b8b0,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0003,Phase6,control_document,circuit_fault_bench_phase6_sci_readiness_upgrade/GITHUB_PUBLISHING.md,handoff_or_boundary_document,L0_CONTEXT_AND_BOUNDARY,CFB-P2-C01;CFB-P2-C03,BOUNDARY_CONTROL,OPTIONAL,python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:a724f12907f042fa6a0b9fff3918116f4e7a4fdd48bf30074fa8989ec6b7c7d1,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0004,Phase6,control_document,circuit_fault_bench_phase6_sci_readiness_upgrade/README.md,handoff_or_boundary_document,L0_CONTEXT_AND_BOUNDARY,CFB-P2-C01;CFB-P2-C03,BOUNDARY_CONTROL,OPTIONAL,python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:2d9adc04bc0a91a136703a05834c4c6b203c7d334164f04da6fd45fad5061be1,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0005,Phase6,source_code,circuit_fault_bench_phase6_sci_readiness_upgrade/cfb6/__init__.py,executable_source,L1_METHOD_IMPLEMENTATION,CFB-P2-C01;CFB-P2-C03,SUPPORTING_ARTIFACT,YES_FOR_REBUILD,python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:b3d3c0fc878388d734db0a548b58aced19aeaf5e1e36ca39f11d2f171b32e570,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0006,Phase6,source_code,circuit_fault_bench_phase6_sci_readiness_upgrade/cfb6/__main__.py,executable_source,L1_METHOD_IMPLEMENTATION,CFB-P2-C01;CFB-P2-C03,SUPPORTING_ARTIFACT,YES_FOR_REBUILD,python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:3d2438ae92f4746e9ffaa1f837b1fe803f6281091d1f31f8c95643716f257d9a,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0007,Phase6,source_code,circuit_fault_bench_phase6_sci_readiness_upgrade/cfb6/cli.py,executable_source,L1_METHOD_IMPLEMENTATION,CFB-P2-C01;CFB-P2-C03,SUPPORTING_ARTIFACT,YES_FOR_REBUILD,python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:d91f39b61ac704399ce35e81c2824357c7468530c8e9849cff2573a99b7b8c2b,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0008,Phase6,source_code,circuit_fault_bench_phase6_sci_readiness_upgrade/cfb6/core.py,executable_source,L1_METHOD_IMPLEMENTATION,CFB-P2-C01;CFB-P2-C03,SUPPORTING_ARTIFACT,YES_FOR_REBUILD,python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:c91adb516dc7af43b711a76538abc0bbf9189931825f3f2f6eb48d42699a733f,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0009,Phase6,release_package,circuit_fault_bench_phase6_sci_readiness_upgrade/cfb6_release.zip,packaged_release,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing release package indexed; rebuild with package-release command if needed.,sha256:30b92e70b878755cde4f9639581672d1b47b353cca8732af40d4296bdb9e1534,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
P6-0010,Phase6,result_table,circuit_fault_bench_phase6_sci_readiness_upgrade/outputs/ablation_matrix.csv,metrics_or_dataset_table,L3_EXECUTED_ARTIFACT,CFB-P2-C01;CFB-P2-C03,DIRECT_EVIDENCE,NO_STAGE1_INDEX_ONLY,Existing output indexed; optional full rerun: python3 -m unittest discover -s tests ; python3 -m cfb6 build --out outputs ; python3 -m cfb6 package-release --pack outputs --out cfb6_release.zip ; python3 -m cfb6 acceptance --pack outputs --zip cfb6_release.zip --report outputs/final_acceptance_report.md,sha256:8ed1ba71ead396e32df36cef6aa3383d96b766303c2d41cedea03c3c4c4364a4,Paper2_EDA_Framework,"SPICE/ngspice evidence only; no hardware behavior, real-world diagnostic validity, exhaustive benchmark coverage, or SCI submission-readiness claim."
