id,title,year,venue,type,category,tool_or_method,solves_packaging,solves_replay,solves_provenance,solves_eda_flow,solves_claim_evidence,solves_hardware_overclaim,domain,overlap_risk,gap_for_artifactgate,url
S01,Information and Software Technology aims and scope,2026,Elsevier,journal_scope,empirical_se_methodology,IST venue scope,no,no,no,no,no,no,software engineering,low,Venue fit only; not an artifact tool.,https://shop.elsevier.com/journals/subjects/physical-sciences-and-engineering/computer-science/software/software-general
S02,ACM Artifact Review and Badging policy,2020,ACM,policy,artifact_evaluation_badging,ACM artifact badges,partial,partial,partial,no,manual,no,research artifacts,medium,Defines artifact quality and badges but does not automate EDA evidence levels.,https://www.acm.org/publications/policies/artifact-review-and-badging-current
S03,ACM SIGSOFT Artifact Evaluation guidance,2026,ACM SIGSOFT,guidance,artifact_evaluation_badging,SIGSOFT AE,partial,partial,no,no,manual,no,software engineering artifacts,medium,Requires claim support descriptions but leaves binding manual.,https://github.com/acmsigsoft/artifact-evaluation
S04,ReproZip: Computational reproducibility with captured dependencies,2016,SIGMOD,paper,computational_reproducibility_packaging,ReproZip,yes,yes,yes,no,no,no,computational experiments,medium,Packages and replays experiments but does not model EDA claim sufficiency.,https://dl.acm.org/doi/10.1145/2882903.2899401
S05,ReproZip project documentation,2026,ReproZip,official_docs,computational_reproducibility_packaging,ReproZip,yes,yes,yes,no,no,no,computational experiments,medium,Captures command dependencies rather than paper claim boundaries.,https://www.reprozip.org/about.html
S06,RO-Crate Metadata Specification 1.1,2023,Research Object,specification,computational_reproducibility_packaging,RO-Crate,yes,partial,metadata,no,no,no,research objects,medium,Metadata packaging does not provide EDA evidence-level policy.,https://www.researchobject.org/ro-crate/specification/1.1/
S07,RO-Crate Metadata Specification 1.2.0,2024,Zenodo,specification,computational_reproducibility_packaging,RO-Crate,yes,partial,metadata,no,no,no,research objects,medium,Research-object aggregation without hardware-overclaim blocking.,https://zenodo.org/records/13751027
S08,Code Ocean verification process for reproducibility and quality,2026,Code Ocean,official_docs,computational_reproducibility_packaging,Code Ocean,yes,yes,yes,no,no,no,compute capsules,medium,Compute capsule verification is domain-general and not EDA claim aware.,https://docs.codeocean.com/osl-guide/publishing-on-code-ocean/the-verification-process/code-oceans-verification-process-for-computational-reproducibility-and-quality
S09,DVC documentation and user guide,2026,DVC,official_docs,computational_reproducibility_packaging,DVC,data_ml,pipeline,partial,no,no,no,data science and ML,low,Data and pipeline versioning does not classify EDA evidence levels.,https://dvc.org/doc/user-guide
S10,Whole Tale reproducible research platform,2026,Whole Tale,platform_docs,computational_reproducibility_packaging,Whole Tale,yes,yes,yes,no,no,no,computational research,medium,Research-object environment packaging without EDA claim policing.,https://wholetale.org/
S11,Implementing computational reproducibility in the Whole Tale environment,2017,Science Gateways,paper,computational_reproducibility_packaging,Whole Tale,yes,yes,yes,no,no,no,computational research,medium,Environment packaging complements but does not replace claim-evidence checking.,https://www.stodden.net/papers/p17-chard.pdf
S12,Binder project documentation,2026,Binder,official_docs,computational_reproducibility_packaging,Binder,partial,yes,partial,no,no,no,notebook environments,low,Launches executable environments; no EDA artifact evidence lattice.,https://mybinder.readthedocs.io/
S13,repo2docker documentation,2026,Jupyter,official_docs,computational_reproducibility_packaging,repo2docker,partial,yes,partial,no,no,no,computational environments,low,Builds environments from repositories without claim-boundary analysis.,https://repo2docker.readthedocs.io/
S14,MLCAD artifact evaluation,2026,MLCAD,artifact_evaluation,eda_fpga_artifact_practice,MLCAD AE,partial,partial,no,domain-general,manual,no,ML for EDA,medium,Provides EDA-community AE practice but not automated evidence sufficiency.,https://mlcad.org/symposium/2026/call-for-artifact-evaluation/
S15,FPGA artifact evaluation,2026,ISFPGA,artifact_evaluation,eda_fpga_artifact_practice,FPGA AE,partial,partial,no,yes,manual,no,FPGA research artifacts,medium,Community AE process is manual and can include hardware artifacts outside this scope.,https://www.isfpga.org/artifact-evaluation/
S16,FuseSoC user overview,2026,FuseSoC,official_docs,eda_workflow_build_tools,FuseSoC,package,tool_run,partial,yes,no,no,HDL build,high,HDL package/build manager; ArtifactGate is complementary claim-safety layer.,https://fusesoc.readthedocs.io/en/stable/user/overview.html
S17,Edalize documentation,2026,Edalize,official_docs,eda_workflow_build_tools,Edalize,no,tool_run,partial,yes,no,no,EDA tool interfacing,high,Tool abstraction does not judge paper claim sufficiency.,https://edalize.readthedocs.io/
S18,Edalize repository,2026,GitHub,repository,eda_workflow_build_tools,Edalize,no,tool_run,partial,yes,no,no,EDA tool interfacing,high,Interface library; not a reviewer-ready claim ledger.,https://github.com/olofk/edalize
S19,OpenROAD Flow Scripts tutorial,2026,OpenROAD,official_docs,eda_workflow_build_tools,OpenROAD Flow Scripts,partial,yes,logs,yes,no,no,RTL-to-GDS flow,high,EDA flow execution is outside ArtifactGate's claim-safety purpose.,https://openroad-flow-scripts.readthedocs.io/en/latest/tutorials/FlowTutorial.html
S20,OpenROAD Flow Scripts repository,2026,GitHub,repository,eda_workflow_build_tools,OpenROAD Flow Scripts,partial,yes,logs,yes,no,no,RTL-to-GDS flow,high,Flow automation rather than manuscript evidence boundary checking.,https://github.com/The-OpenROAD-Project/OpenROAD-flow-scripts
S21,OpenLane repository,2026,GitHub,repository,eda_workflow_build_tools,OpenLane,partial,yes,logs,yes,no,no,RTL-to-GDS flow,high,Physical implementation flow; ArtifactGate must not claim to replace it.,https://github.com/The-OpenROAD-Project/openlane
S22,mflowgen documentation,2026,mflowgen,official_docs,eda_workflow_build_tools,mflowgen,partial,tool_run,partial,yes,no,no,ASIC/FPGA flow generation,high,"Modular flow generator, not claim-overreach detector.",https://mflowgen.readthedocs.io/
