case_id,case_path,expected_error_code,detected_error_code,detected_error_codes,false_positive,status
CLEAN-01,examples/corrupted_artifact_cases_extended/clean_specificity/case_01,NONE,NONE,,no,PASS
CLEAN-02,examples/corrupted_artifact_cases_extended/clean_specificity/case_02,NONE,NONE,,no,PASS
CLEAN-03,examples/corrupted_artifact_cases_extended/clean_specificity/case_03,NONE,NONE,,no,PASS
CLEAN-04,examples/corrupted_artifact_cases_extended/clean_specificity/case_04,NONE,NONE,,no,PASS
CLEAN-05,examples/corrupted_artifact_cases_extended/clean_specificity/case_05,NONE,NONE,,no,PASS
CLEAN-06,examples/corrupted_artifact_cases_extended/clean_specificity/case_06,NONE,NONE,,no,PASS
CLEAN-07,examples/corrupted_artifact_cases_extended/clean_specificity/case_07,NONE,NONE,,no,PASS
CLEAN-08,examples/corrupted_artifact_cases_extended/clean_specificity/case_08,NONE,NONE,,no,PASS
CLEAN-09,examples/corrupted_artifact_cases_extended/clean_specificity/case_09,NONE,NONE,,no,PASS
CLEAN-10,examples/corrupted_artifact_cases_extended/clean_specificity/case_10,NONE,NONE,,no,PASS
CLEAN-11,examples/corrupted_artifact_cases_extended/clean_specificity/case_11,NONE,NONE,,no,PASS
CLEAN-12,examples/corrupted_artifact_cases_extended/clean_specificity/case_12,NONE,NONE,,no,PASS
CLEAN-13,examples/corrupted_artifact_cases_extended/clean_specificity/case_13,NONE,NONE,,no,PASS
CLEAN-14,examples/corrupted_artifact_cases_extended/clean_specificity/case_14,NONE,NONE,,no,PASS
CLEAN-15,examples/corrupted_artifact_cases_extended/clean_specificity/case_15,NONE,NONE,,no,PASS
CLEAN-16,examples/corrupted_artifact_cases_extended/clean_specificity/case_16,NONE,NONE,,no,PASS
CLEAN-17,examples/corrupted_artifact_cases_extended/clean_specificity/case_17,NONE,NONE,,no,PASS
CLEAN-18,examples/corrupted_artifact_cases_extended/clean_specificity/case_18,NONE,NONE,,no,PASS
CLEAN-19,examples/corrupted_artifact_cases_extended/clean_specificity/case_19,NONE,NONE,,no,PASS
CLEAN-20,examples/corrupted_artifact_cases_extended/clean_specificity/case_20,NONE,NONE,,no,PASS
CLEAN-21,examples/corrupted_artifact_cases_extended/clean_specificity/case_21,NONE,NONE,,no,PASS
CLEAN-22,examples/corrupted_artifact_cases_extended/clean_specificity/case_22,NONE,NONE,,no,PASS
CLEAN-23,examples/corrupted_artifact_cases_extended/clean_specificity/case_23,NONE,NONE,,no,PASS
CLEAN-24,examples/corrupted_artifact_cases_extended/clean_specificity/case_24,NONE,NONE,,no,PASS
CLEAN-25,examples/corrupted_artifact_cases_extended/clean_specificity/case_25,NONE,NONE,,no,PASS
CLEAN-26,examples/corrupted_artifact_cases_extended/clean_specificity/case_26,NONE,NONE,,no,PASS
CLEAN-27,examples/corrupted_artifact_cases_extended/clean_specificity/case_27,NONE,NONE,,no,PASS
CLEAN-28,examples/corrupted_artifact_cases_extended/clean_specificity/case_28,NONE,NONE,,no,PASS
CLEAN-29,examples/corrupted_artifact_cases_extended/clean_specificity/case_29,NONE,NONE,,no,PASS
CLEAN-30,examples/corrupted_artifact_cases_extended/clean_specificity/case_30,NONE,NONE,,no,PASS
