claim_id,category,claim_type,claim_text,expected_status
CB-EDA-0001,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 1.,SUPPORTED
CB-EDA-0002,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 2.,SUPPORTED
CB-EDA-0003,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 3.,SUPPORTED
CB-EDA-0004,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 4.,SUPPORTED
CB-EDA-0005,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 5.,SUPPORTED
CB-EDA-0006,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 6.,SUPPORTED
CB-EDA-0007,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 7.,SUPPORTED
CB-EDA-0008,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 8.,SUPPORTED
CB-EDA-0009,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 9.,SUPPORTED
CB-EDA-0010,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 10.,SUPPORTED
CB-EDA-0011,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 11.,SUPPORTED
CB-EDA-0012,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 12.,SUPPORTED
CB-EDA-0013,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 13.,SUPPORTED
CB-EDA-0014,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 14.,SUPPORTED
CB-EDA-0015,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 15.,SUPPORTED
CB-EDA-0016,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 16.,SUPPORTED
CB-EDA-0017,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 17.,SUPPORTED
CB-EDA-0018,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 18.,SUPPORTED
CB-EDA-0019,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 19.,SUPPORTED
CB-EDA-0020,safe_software_simulation_claims,safe_software,The HDL testbench output supports a software-only simulation statement for case 20.,SUPPORTED
CB-EDA-0021,safe_software_simulation_claims,safe_software,The replay manifest records commands for software-only reproduction case 21.,SUPPORTED
CB-EDA-0022,safe_software_simulation_claims,safe_software,The ngspice replay records software simulation evidence for case 22.,SUPPORTED
