file,path,line_no,matched_term,context,allowed_context,status
AGENTS.md,AGENTS.md,9,DFX deployment,"validation, Vivado timing, DFX deployment, bitstream, or board-validation",repository boundary rule,ALLOWED
AGENTS.md,AGENTS.md,26,hardware validation,- hardware validation,repository boundary rule,ALLOWED
AGENTS.md,AGENTS.md,28,bitstreams,- full or partial bitstreams,repository boundary rule,ALLOWED
AGENTS.md,AGENTS.md,28,partial bitstreams,- full or partial bitstreams,repository boundary rule,ALLOWED
AGENTS.md,AGENTS.md,29,DFX deployment,- DFX deployment or runtime DFX validation,repository boundary rule,ALLOWED
AGENTS.md,AGENTS.md,30,board-level,- board-level behavior,repository boundary rule,ALLOWED
AGENTS.md,AGENTS.md,31,real FPGA speedup,- real FPGA speedup or energy saving,repository boundary rule,ALLOWED
README.md,README.md,18,bitstreams,"This software does not validate hardware, Vivado timing, DFX deployment, bitstreams, or board-level behavior.",limitation or boundary section,ALLOWED
README.md,README.md,18,board-level,"This software does not validate hardware, Vivado timing, DFX deployment, bitstreams, or board-level behavior.",limitation or boundary section,ALLOWED
README.md,README.md,18,DFX deployment,"This software does not validate hardware, Vivado timing, DFX deployment, bitstreams, or board-level behavior.",limitation or boundary section,ALLOWED
.codex_workflow/SESSION_STATE.md,.codex_workflow/SESSION_STATE.md,73,board-level,"- No hardware, Vivado, DFX, bitstream, or board-level positive claims.",limitation or safe rewrite context,ALLOWED
.codex_workflow/STAGE_CONTROL_PACKET.md,.codex_workflow/STAGE_CONTROL_PACKET.md,119,hardware validation,"| `fpga-dfx-reviewer` | Forbidden as a route to add hardware/Vivado/DFX evidence. | Turning a claim-boundary audit into hardware validation, timing closure, bitstream, or board-readiness claims. | `research-claim-os` and claim-boundary scan",limitation or safe rewrite context,ALLOWED
docs/api_reference.md,docs/api_reference.md,72,board-level,"DFX, bitstream, board-level, industrial-deployment, and real-performance claims",documentation of boundary checks,ALLOWED
docs/g13_author_expert_walkthrough_template.md,docs/g13_author_expert_walkthrough_template.md,36,hardware validation,"hardware validation, vendor timing closure, bitstream generation, DFX",limitation or safe rewrite context,ALLOWED
docs/g13_author_expert_walkthrough_template.md,docs/g13_author_expert_walkthrough_template.md,37,board validation,"deployment, or board validation.",limitation or safe rewrite context,ALLOWED
docs/g13_author_expert_walkthrough_template.md,docs/g13_author_expert_walkthrough_template.md,66,DFX deployment,"validation, vendor timing closure, bitstream generation, DFX deployment, board",limitation or safe rewrite context,ALLOWED
docs/ist_author_external_completion_packet.md,docs/ist_author_external_completion_packet.md,38,DFX deployment,"- Confirmation that no hardware, Vivado timing, DFX deployment, bitstream, or",limitation or safe rewrite context,ALLOWED
docs/ist_author_external_completion_packet.md,docs/ist_author_external_completion_packet.md,44,hardware validation,hardware validation.,limitation or safe rewrite context,ALLOWED
docs/ist_author_external_completion_packet.md,docs/ist_author_external_completion_packet.md,127,DFX deployment,"hardware, Vivado timing, DFX deployment, bitstream, or board-validation claim;",limitation or safe rewrite context,ALLOWED
docs/reproducibility.md,docs/reproducibility.md,77,board-level,"timing, DFX runtime use, bitstream creation, board-level behavior, FPGA",documentation of boundary checks,ALLOWED
docs/schema_reference.md,docs/schema_reference.md,61,board-level,- hardware or board-level acceptance claims,documentation of boundary checks,ALLOWED
examples/claimbench_eda/claimbench_claims.csv,examples/claimbench_eda/claimbench_claims.csv,302,hardware validation,"CB-EDA-0301,hardware_validation_overclaims,hardware_overclaim,The package provides hardware validation for case 1.,UNSUPPORTED",negative claim test case,ALLOWED
