walkthrough_id,generated_at_utc,reviewer_mode,human_participants,condition,condition_label,source_method,task_id,task_prompt,task_type,expected_signal,evidence_file,command_log,command_timestamp_utc,decision,expected_decision,observed_success,elapsed_seconds_estimate,confidence_rating_estimate,time_measurement_scope,limitation
manual_package_T1,2026-06-22T13:32:20Z,generated_single_reviewer_dry_run,0,manual_package,README plus ZIP/checksum review,B1_manual_readme_zip,T1,Inspect the package and decide whether a required log or artifact is missing.,defect,MISSING_ARTIFACT,outputs/rq10_reviewer_walkthrough/baseline_execution_source/B1_manual_readme_zip/detected_defects.csv,artifactgate benchmark --suite baseline --repo . --out outputs/rq10_reviewer_walkthrough/baseline_execution_source --reports reports,2026-06-22T13:32:20Z,signal_found,signal_found,yes,41,4,"operator-step estimate, not measured human-subject timing",generated dry run only; author-side expert walkthrough required for G13
manual_package_T2,2026-06-22T13:32:27Z,generated_single_reviewer_dry_run,0,manual_package,README plus ZIP/checksum review,B1_manual_readme_zip,T2,Inspect checksum evidence and decide whether an artifact hash mismatch is present.,defect,HASH_MISMATCH,outputs/rq10_reviewer_walkthrough/baseline_execution_source/B1_manual_readme_zip/detected_defects.csv,artifactgate benchmark --suite baseline --repo . --out outputs/rq10_reviewer_walkthrough/baseline_execution_source --reports reports,2026-06-22T13:32:27Z,signal_not_found,signal_found,no,47,2,"operator-step estimate, not measured human-subject timing",generated dry run only; author-side expert walkthrough required for G13
manual_package_T3,2026-06-22T13:32:34Z,generated_single_reviewer_dry_run,0,manual_package,README plus ZIP/checksum review,B1_manual_readme_zip,T3,Inspect path evidence and decide whether a non-portable local path is present.,defect,NON_PORTABLE_PATH,outputs/rq10_reviewer_walkthrough/baseline_execution_source/B1_manual_readme_zip/detected_defects.csv,artifactgate benchmark --suite baseline --repo . --out outputs/rq10_reviewer_walkthrough/baseline_execution_source --reports reports,2026-06-22T13:32:34Z,signal_not_found,signal_found,no,53,2,"operator-step estimate, not measured human-subject timing",generated dry run only; author-side expert walkthrough required for G13
manual_package_T4,2026-06-22T13:32:41Z,generated_single_reviewer_dry_run,0,manual_package,README plus ZIP/checksum review,B1_manual_readme_zip,T4,Inspect claim evidence and decide whether a hardware-boundary claim is unsupported.,claim,UNSUPPORTED_CLAIM,outputs/rq10_reviewer_walkthrough/baseline_execution_source/B1_manual_readme_zip/claim_results.csv,artifactgate benchmark --suite baseline --repo . --out outputs/rq10_reviewer_walkthrough/baseline_execution_source --reports reports,2026-06-22T13:32:41Z,signal_not_found,signal_found,no,59,2,"operator-step estimate, not measured human-subject timing",generated dry run only; author-side expert walkthrough required for G13
manual_package_T5,2026-06-22T13:32:48Z,generated_single_reviewer_dry_run,0,manual_package,README plus ZIP/checksum review,B1_manual_readme_zip,T5,Inspect synthesis evidence and decide whether a Yosys-to-Vivado escalation is unsupported.,claim,EVIDENCE_LEVEL_ESCALATION,outputs/rq10_reviewer_walkthrough/baseline_execution_source/B1_manual_readme_zip/claim_results.csv,artifactgate benchmark --suite baseline --repo . --out outputs/rq10_reviewer_walkthrough/baseline_execution_source --reports reports,2026-06-22T13:32:48Z,signal_not_found,signal_found,no,65,2,"operator-step estimate, not measured human-subject timing",generated dry run only; author-side expert walkthrough required for G13
manual_package_T6,2026-06-22T13:32:55Z,generated_single_reviewer_dry_run,0,manual_package,README plus ZIP/checksum review,B1_manual_readme_zip,T6,Locate replay instructions and decide whether replay commands are available.,package,NONEMPTY_COMMANDS,outputs/rq10_reviewer_walkthrough/baseline_execution_source/B1_manual_readme_zip/replay_manifest.json,artifactgate benchmark --suite baseline --repo . --out outputs/rq10_reviewer_walkthrough/baseline_execution_source --reports reports,2026-06-22T13:32:55Z,signal_not_found,signal_found,no,71,2,"operator-step estimate, not measured human-subject timing",generated dry run only; author-side expert walkthrough required for G13
manual_package_T7,2026-06-22T13:33:02Z,generated_single_reviewer_dry_run,0,manual_package,README plus ZIP/checksum review,B1_manual_readme_zip,T7,Locate the claim-evidence table and decide whether claims are traceable to artifacts.,report,NONEMPTY_ROWS,outputs/rq10_reviewer_walkthrough/baseline_execution_source/B1_manual_readme_zip/claim_evidence_table.csv,artifactgate benchmark --suite baseline --repo . --out outputs/rq10_reviewer_walkthrough/baseline_execution_source --reports reports,2026-06-22T13:33:02Z,signal_not_found,signal_found,no,77,2,"operator-step estimate, not measured human-subject timing",generated dry run only; author-side expert walkthrough required for G13
manual_package_T8,2026-06-22T13:33:09Z,generated_single_reviewer_dry_run,0,manual_package,README plus ZIP/checksum review,B1_manual_readme_zip,T8,Locate the reviewer report and decide whether reviewer-ready status text is available.,report,REVIEWER_READY_TEXT,outputs/rq10_reviewer_walkthrough/baseline_execution_source/B1_manual_readme_zip/reviewer_report.md,artifactgate benchmark --suite baseline --repo . --out outputs/rq10_reviewer_walkthrough/baseline_execution_source --reports reports,2026-06-22T13:33:09Z,signal_found,signal_found,yes,83,4,"operator-step estimate, not measured human-subject timing",generated dry run only; author-side expert walkthrough required for G13
artifactgate_package_T1,2026-06-22T13:33:16Z,generated_single_reviewer_dry_run,0,artifactgate_package,"ArtifactGate reports, ledger, manifest, and policy outputs",B7_artifactgate_full,T1,Inspect the package and decide whether a required log or artifact is missing.,defect,MISSING_ARTIFACT,outputs/rq10_reviewer_walkthrough/baseline_execution_source/B7_artifactgate_full/detected_defects.csv,artifactgate benchmark --suite baseline --repo . --out outputs/rq10_reviewer_walkthrough/baseline_execution_source --reports reports,2026-06-22T13:33:16Z,signal_found,signal_found,yes,38,5,"operator-step estimate, not measured human-subject timing",generated dry run only; author-side expert walkthrough required for G13
artifactgate_package_T2,2026-06-22T13:33:23Z,generated_single_reviewer_dry_run,0,artifactgate_package,"ArtifactGate reports, ledger, manifest, and policy outputs",B7_artifactgate_full,T2,Inspect checksum evidence and decide whether an artifact hash mismatch is present.,defect,HASH_MISMATCH,outputs/rq10_reviewer_walkthrough/baseline_execution_source/B7_artifactgate_full/detected_defects.csv,artifactgate benchmark --suite baseline --repo . --out outputs/rq10_reviewer_walkthrough/baseline_execution_source --reports reports,2026-06-22T13:33:23Z,signal_found,signal_found,yes,41,5,"operator-step estimate, not measured human-subject timing",generated dry run only; author-side expert walkthrough required for G13
