id,type,category,source_class,use_in_manuscript,quality_note
S01,journal_scope,empirical_se_methodology,tool_policy_or_repository,cite_for_tool_scope,Venue fit only; not an artifact tool.
S02,policy,artifact_evaluation_badging,tool_policy_or_repository,cite_for_tool_scope,Defines artifact quality and badges but does not automate EDA evidence levels.
S03,guidance,artifact_evaluation_badging,tool_policy_or_repository,cite_for_tool_scope,Requires claim support descriptions but leaves binding manual.
S04,paper,computational_reproducibility_packaging,scholarly_or_standard,cite_for_gap,Packages and replays experiments but does not model EDA claim sufficiency.
S05,official_docs,computational_reproducibility_packaging,tool_policy_or_repository,cite_for_tool_scope,Captures command dependencies rather than paper claim boundaries.
S06,specification,computational_reproducibility_packaging,scholarly_or_standard,cite_for_gap,Metadata packaging does not provide EDA evidence-level policy.
S07,specification,computational_reproducibility_packaging,scholarly_or_standard,cite_for_gap,Research-object aggregation without hardware-overclaim blocking.
S08,official_docs,computational_reproducibility_packaging,tool_policy_or_repository,cite_for_tool_scope,Compute capsule verification is domain-general and not EDA claim aware.
S09,official_docs,computational_reproducibility_packaging,tool_policy_or_repository,cite_for_tool_scope,Data and pipeline versioning does not classify EDA evidence levels.
S10,platform_docs,computational_reproducibility_packaging,tool_policy_or_repository,cite_for_tool_scope,Research-object environment packaging without EDA claim policing.
S11,paper,computational_reproducibility_packaging,scholarly_or_standard,cite_for_gap,Environment packaging complements but does not replace claim-evidence checking.
S12,official_docs,computational_reproducibility_packaging,tool_policy_or_repository,cite_for_tool_scope,Launches executable environments; no EDA artifact evidence lattice.
S13,official_docs,computational_reproducibility_packaging,tool_policy_or_repository,cite_for_tool_scope,Builds environments from repositories without claim-boundary analysis.
S14,artifact_evaluation,eda_fpga_artifact_practice,tool_policy_or_repository,cite_for_tool_scope,Provides EDA-community AE practice but not automated evidence sufficiency.
S15,artifact_evaluation,eda_fpga_artifact_practice,tool_policy_or_repository,cite_for_tool_scope,Community AE process is manual and can include hardware artifacts outside this scope.
S16,official_docs,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,HDL package/build manager; ArtifactGate is complementary claim-safety layer.
S17,official_docs,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Tool abstraction does not judge paper claim sufficiency.
S18,repository,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Interface library; not a reviewer-ready claim ledger.
S19,official_docs,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,EDA flow execution is outside ArtifactGate's claim-safety purpose.
S20,repository,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Flow automation rather than manuscript evidence boundary checking.
S21,repository,eda_workflow_build_tools,tool_policy_or_repository,cite_for_tool_scope,Physical implementation flow; ArtifactGate must not claim to replace it.
